,Time period,Current period
,"
              Day
            ",Site sessions
1,2025-11-26 00:00:00,199
2,2025-12-08 00:00:00,103
3,2025-11-13 00:00:00,91
4,2025-11-27 00:00:00,82
5,2025-11-18 00:00:00,81
6,2025-11-11 00:00:00,74
7,2025-11-21 00:00:00,72
8,2025-11-19 00:00:00,71
9,2025-11-25 00:00:00,71
10,2025-11-12 00:00:00,70
11,2025-12-09 00:00:00,70
12,2025-12-02 00:00:00,69
13,2025-12-05 00:00:00,69
14,2025-12-10 00:00:00,69
15,2025-11-28 00:00:00,68
16,2025-11-20 00:00:00,67
17,2025-12-01 00:00:00,66
18,2025-12-17 00:00:00,66
19,2025-12-04 00:00:00,64
20,2025-12-18 00:00:00,64
21,2025-12-16 00:00:00,63
22,2025-11-14 00:00:00,61
23,2025-12-11 00:00:00,58
24,2025-12-12 00:00:00,58
25,2025-11-24 00:00:00,56
26,2025-12-15 00:00:00,56
27,2025-11-17 00:00:00,55
28,2025-12-03 00:00:00,52
29,2025-12-19 00:00:00,40
30,2025-12-13 00:00:00,32
31,2025-11-16 00:00:00,25
32,2025-11-23 00:00:00,25
33,2025-11-29 00:00:00,25
34,2025-12-14 00:00:00,25
35,2025-12-20 00:00:00,23
36,2025-11-06 00:00:00,20
37,2025-11-30 00:00:00,18
38,2025-12-06 00:00:00,18
39,2025-11-22 00:00:00,16
40,2025-11-07 00:00:00,15
41,2025-11-10 00:00:00,15
42,2025-11-05 00:00:00,14
43,2025-11-15 00:00:00,14
44,2025-12-07 00:00:00,14
45,2025-12-21 00:00:00,10
46,2025-11-04 00:00:00,8
47,2025-10-08 00:00:00,7
48,2025-10-13 00:00:00,7
49,2025-10-28 00:00:00,6
50,2025-11-03 00:00:00,6
51,2025-10-30 00:00:00,5
52,2025-10-31 00:00:00,5
53,2025-12-22 00:00:00,5
54,2025-09-10 00:00:00,3
55,2025-10-07 00:00:00,3
56,2025-10-14 00:00:00,3
57,2025-09-11 00:00:00,2
58,2025-10-15 00:00:00,2
59,2025-10-17 00:00:00,2
60,2025-09-09 00:00:00,1
61,2025-09-12 00:00:00,1
62,2025-09-24 00:00:00,1
63,2025-09-29 00:00:00,1
64,2025-10-09 00:00:00,1
65,2024-12-23 00:00:00,0
66,2024-12-24 00:00:00,0
67,2024-12-25 00:00:00,0
68,2024-12-26 00:00:00,0
69,2024-12-27 00:00:00,0
70,2024-12-28 00:00:00,0
71,2024-12-29 00:00:00,0
72,2024-12-30 00:00:00,0
73,2024-12-31 00:00:00,0
74,2025-01-01 00:00:00,0
75,2025-01-02 00:00:00,0
76,2025-01-03 00:00:00,0
77,2025-01-04 00:00:00,0
78,2025-01-05 00:00:00,0
79,2025-01-06 00:00:00,0
80,2025-01-07 00:00:00,0
81,2025-01-08 00:00:00,0
82,2025-01-09 00:00:00,0
83,2025-01-10 00:00:00,0
84,2025-01-11 00:00:00,0
85,2025-01-12 00:00:00,0
86,2025-01-13 00:00:00,0
87,2025-01-14 00:00:00,0
88,2025-01-15 00:00:00,0
89,2025-01-16 00:00:00,0
90,2025-01-17 00:00:00,0
91,2025-01-18 00:00:00,0
92,2025-01-19 00:00:00,0
93,2025-01-20 00:00:00,0
94,2025-01-21 00:00:00,0
95,2025-01-22 00:00:00,0
96,2025-01-23 00:00:00,0
97,2025-01-24 00:00:00,0
98,2025-01-25 00:00:00,0
99,2025-01-26 00:00:00,0
100,2025-01-27 00:00:00,0
101,2025-01-28 00:00:00,0
102,2025-01-29 00:00:00,0
103,2025-01-30 00:00:00,0
104,2025-01-31 00:00:00,0
105,2025-02-01 00:00:00,0
106,2025-02-02 00:00:00,0
107,2025-02-03 00:00:00,0
108,2025-02-04 00:00:00,0
109,2025-02-05 00:00:00,0
110,2025-02-06 00:00:00,0
111,2025-02-07 00:00:00,0
112,2025-02-08 00:00:00,0
113,2025-02-09 00:00:00,0
114,2025-02-10 00:00:00,0
115,2025-02-11 00:00:00,0
116,2025-02-12 00:00:00,0
117,2025-02-13 00:00:00,0
118,2025-02-14 00:00:00,0
119,2025-02-15 00:00:00,0
120,2025-02-16 00:00:00,0
121,2025-02-17 00:00:00,0
122,2025-02-18 00:00:00,0
123,2025-02-19 00:00:00,0
124,2025-02-20 00:00:00,0
125,2025-02-21 00:00:00,0
126,2025-02-22 00:00:00,0
127,2025-02-23 00:00:00,0
128,2025-02-24 00:00:00,0
129,2025-02-25 00:00:00,0
130,2025-02-26 00:00:00,0
131,2025-02-27 00:00:00,0
132,2025-02-28 00:00:00,0
133,2025-03-01 00:00:00,0
134,2025-03-02 00:00:00,0
135,2025-03-03 00:00:00,0
136,2025-03-04 00:00:00,0
137,2025-03-05 00:00:00,0
138,2025-03-06 00:00:00,0
139,2025-03-07 00:00:00,0
140,2025-03-08 00:00:00,0
141,2025-03-09 00:00:00,0
142,2025-03-10 00:00:00,0
143,2025-03-11 00:00:00,0
144,2025-03-12 00:00:00,0
145,2025-03-13 00:00:00,0
146,2025-03-14 00:00:00,0
147,2025-03-15 00:00:00,0
148,2025-03-16 00:00:00,0
149,2025-03-17 00:00:00,0
150,2025-03-18 00:00:00,0
151,2025-03-19 00:00:00,0
152,2025-03-20 00:00:00,0
153,2025-03-21 00:00:00,0
154,2025-03-22 00:00:00,0
155,2025-03-23 00:00:00,0
156,2025-03-24 00:00:00,0
157,2025-03-25 00:00:00,0
158,2025-03-26 00:00:00,0
159,2025-03-27 00:00:00,0
160,2025-03-28 00:00:00,0
161,2025-03-29 00:00:00,0
162,2025-03-30 00:00:00,0
163,2025-03-31 00:00:00,0
164,2025-04-01 00:00:00,0
165,2025-04-02 00:00:00,0
166,2025-04-03 00:00:00,0
167,2025-04-04 00:00:00,0
168,2025-04-05 00:00:00,0
169,2025-04-06 00:00:00,0
170,2025-04-07 00:00:00,0
171,2025-04-08 00:00:00,0
172,2025-04-09 00:00:00,0
173,2025-04-10 00:00:00,0
174,2025-04-11 00:00:00,0
175,2025-04-12 00:00:00,0
176,2025-04-13 00:00:00,0
177,2025-04-14 00:00:00,0
178,2025-04-15 00:00:00,0
179,2025-04-16 00:00:00,0
180,2025-04-17 00:00:00,0
181,2025-04-18 00:00:00,0
182,2025-04-19 00:00:00,0
183,2025-04-20 00:00:00,0
184,2025-04-21 00:00:00,0
185,2025-04-22 00:00:00,0
186,2025-04-23 00:00:00,0
187,2025-04-24 00:00:00,0
188,2025-04-25 00:00:00,0
189,2025-04-26 00:00:00,0
190,2025-04-27 00:00:00,0
191,2025-04-28 00:00:00,0
192,2025-04-29 00:00:00,0
193,2025-04-30 00:00:00,0
194,2025-05-01 00:00:00,0
195,2025-05-02 00:00:00,0
196,2025-05-03 00:00:00,0
197,2025-05-04 00:00:00,0
198,2025-05-05 00:00:00,0
199,2025-05-06 00:00:00,0
200,2025-05-07 00:00:00,0
201,2025-05-08 00:00:00,0
202,2025-05-09 00:00:00,0
203,2025-05-10 00:00:00,0
204,2025-05-11 00:00:00,0
205,2025-05-12 00:00:00,0
206,2025-05-13 00:00:00,0
207,2025-05-14 00:00:00,0
208,2025-05-15 00:00:00,0
209,2025-05-16 00:00:00,0
210,2025-05-17 00:00:00,0
211,2025-05-18 00:00:00,0
212,2025-05-19 00:00:00,0
213,2025-05-20 00:00:00,0
214,2025-05-21 00:00:00,0
215,2025-05-22 00:00:00,0
216,2025-05-23 00:00:00,0
217,2025-05-24 00:00:00,0
218,2025-05-25 00:00:00,0
219,2025-05-26 00:00:00,0
220,2025-05-27 00:00:00,0
221,2025-05-28 00:00:00,0
222,2025-05-29 00:00:00,0
223,2025-05-30 00:00:00,0
224,2025-05-31 00:00:00,0
225,2025-06-01 00:00:00,0
226,2025-06-02 00:00:00,0
227,2025-06-03 00:00:00,0
228,2025-06-04 00:00:00,0
229,2025-06-05 00:00:00,0
230,2025-06-06 00:00:00,0
231,2025-06-07 00:00:00,0
232,2025-06-08 00:00:00,0
233,2025-06-09 00:00:00,0
234,2025-06-10 00:00:00,0
235,2025-06-11 00:00:00,0
236,2025-06-12 00:00:00,0
237,2025-06-13 00:00:00,0
238,2025-06-14 00:00:00,0
239,2025-06-15 00:00:00,0
240,2025-06-16 00:00:00,0
241,2025-06-17 00:00:00,0
242,2025-06-18 00:00:00,0
243,2025-06-19 00:00:00,0
244,2025-06-20 00:00:00,0
245,2025-06-21 00:00:00,0
246,2025-06-22 00:00:00,0
247,2025-06-23 00:00:00,0
248,2025-06-24 00:00:00,0
249,2025-06-25 00:00:00,0
250,2025-06-26 00:00:00,0
251,2025-06-27 00:00:00,0
252,2025-06-28 00:00:00,0
253,2025-06-29 00:00:00,0
254,2025-06-30 00:00:00,0
255,2025-07-01 00:00:00,0
256,2025-07-02 00:00:00,0
257,2025-07-03 00:00:00,0
258,2025-07-04 00:00:00,0
259,2025-07-05 00:00:00,0
260,2025-07-06 00:00:00,0
261,2025-07-07 00:00:00,0
262,2025-07-08 00:00:00,0
263,2025-07-09 00:00:00,0
264,2025-07-10 00:00:00,0
265,2025-07-11 00:00:00,0
266,2025-07-12 00:00:00,0
267,2025-07-13 00:00:00,0
268,2025-07-14 00:00:00,0
269,2025-07-15 00:00:00,0
