Date,Sponsored followers,Organic followers,Auto-invited followers,Total followers
07/19/2025,0,12,0,12
07/20/2025,0,10,0,10
07/21/2025,0,10,0,10
07/22/2025,0,11,0,11
07/23/2025,0,7,0,7
07/24/2025,0,8,0,8
07/25/2025,0,6,0,6
07/26/2025,0,3,0,3
07/27/2025,0,2,0,2
07/28/2025,0,8,0,8
07/29/2025,0,10,0,10
07/30/2025,0,11,0,11
07/31/2025,0,7,0,7
08/01/2025,0,7,0,7
08/02/2025,0,6,0,6
08/03/2025,0,8,0,8
08/04/2025,0,10,0,10
08/05/2025,0,5,0,5
08/06/2025,0,1,0,1
08/07/2025,0,7,0,7
08/08/2025,0,6,0,6
08/09/2025,0,2,0,2
08/10/2025,0,5,0,5
08/11/2025,0,4,0,4
08/12/2025,0,4,0,4
08/13/2025,0,2,0,2
08/14/2025,0,5,0,5
08/15/2025,0,5,0,5
08/16/2025,0,12,0,12
08/17/2025,0,5,0,5
08/18/2025,0,6,0,6
08/19/2025,0,-1,0,-1
08/20/2025,0,5,0,5
08/21/2025,0,9,0,9
08/22/2025,0,8,0,8
08/23/2025,0,2,0,2
08/24/2025,0,5,0,5
08/25/2025,0,11,0,11
08/26/2025,0,2,0,2
08/27/2025,0,8,0,8
08/28/2025,0,6,0,6
08/29/2025,0,1,0,1
08/30/2025,0,6,0,6
08/31/2025,0,2,0,2
09/01/2025,0,10,0,10
09/02/2025,0,4,0,4
09/03/2025,0,6,0,6
09/04/2025,0,4,0,4
09/05/2025,0,6,0,6
09/06/2025,0,2,0,2
09/07/2025,0,7,0,7
09/08/2025,0,13,0,13
09/09/2025,0,4,0,4
09/10/2025,0,3,0,3
09/11/2025,0,4,0,4
09/12/2025,0,1,0,1
09/13/2025,0,5,0,5
09/14/2025,0,4,0,4
09/15/2025,0,10,0,10
09/16/2025,0,9,0,9
09/17/2025,0,1,0,1
09/18/2025,0,12,0,12
09/19/2025,0,3,0,3
09/20/2025,0,4,0,4
09/21/2025,0,5,0,5
09/22/2025,0,6,0,6
09/23/2025,0,0,0,0
09/24/2025,0,7,0,7
09/25/2025,0,7,0,7
09/26/2025,0,2,0,2
09/27/2025,0,-1,0,-1
09/28/2025,0,1,0,1
09/29/2025,0,2,0,2
09/30/2025,0,5,0,5
10/01/2025,0,6,0,6
10/02/2025,0,3,0,3
10/03/2025,0,3,0,3
10/04/2025,0,3,0,3
10/05/2025,0,5,0,5
10/06/2025,0,5,0,5
10/07/2025,0,5,0,5
10/08/2025,0,8,0,8
10/09/2025,0,6,0,6
10/10/2025,0,0,0,0
10/11/2025,0,3,0,3
10/12/2025,0,4,0,4
10/13/2025,0,6,0,6
10/14/2025,0,6,0,6
10/15/2025,0,0,0,0
10/16/2025,0,4,0,4
10/17/2025,0,1,0,1
10/18/2025,0,1,0,1
10/19/2025,0,0,0,0
10/20/2025,0,1,0,1
10/21/2025,0,3,0,3
10/22/2025,0,7,0,7
10/23/2025,0,1,0,1
10/24/2025,0,7,0,7
10/25/2025,0,3,0,3
10/26/2025,0,2,0,2
10/27/2025,0,3,0,3
10/28/2025,0,6,0,6
10/29/2025,0,4,0,4
10/30/2025,0,5,0,5
10/31/2025,0,0,0,0
11/01/2025,0,4,0,4
11/02/2025,0,3,0,3
11/03/2025,0,7,0,7
11/04/2025,0,1,0,1
11/05/2025,0,4,0,4
11/06/2025,0,5,0,5
11/07/2025,0,8,0,8
11/08/2025,0,4,0,4
11/09/2025,0,2,0,2
11/10/2025,0,2,0,2
11/11/2025,0,7,0,7
11/12/2025,0,3,0,3
11/13/2025,0,4,0,4
11/14/2025,0,4,0,4
11/15/2025,0,4,0,4
11/16/2025,0,2,0,2
11/17/2025,0,6,0,6
11/18/2025,0,7,0,7
11/19/2025,0,3,0,3
11/20/2025,0,-1,0,-1
11/21/2025,0,3,0,3
11/22/2025,0,4,0,4
11/23/2025,0,2,0,2
11/24/2025,0,6,0,6
11/25/2025,0,4,0,4
11/26/2025,0,18,0,18
11/27/2025,0,5,0,5
11/28/2025,0,8,0,8
11/29/2025,0,3,0,3
11/30/2025,0,9,0,9
12/01/2025,0,6,0,6
12/02/2025,0,9,0,9
12/03/2025,0,4,0,4
12/04/2025,0,10,0,10
12/05/2025,0,6,0,6
12/06/2025,0,4,0,4
12/07/2025,0,3,0,3
12/08/2025,0,2,0,2
12/09/2025,0,3,0,3
12/10/2025,0,7,0,7
12/11/2025,0,14,0,14
12/12/2025,0,41,0,41
12/13/2025,0,44,0,44
12/14/2025,0,6,0,6
12/15/2025,0,11,0,11
12/16/2025,0,18,0,18
12/17/2025,0,12,0,12
12/18/2025,0,13,0,13
12/19/2025,0,6,0,6
12/20/2025,0,5,0,5
