Date,Impressions (organic),Impressions (sponsored),Impressions (total),Unique impressions (organic),Clicks (organic),Clicks (sponsored),Clicks (total),Reactions (organic),Reactions (sponsored),Reactions (total),Comments (organic),Comments (sponsored),Comments (total),Reposts (organic),Reposts (sponsored),Reposts (total),Engagement rate (organic),Engagement rate (sponsored),Engagement rate (total)
02/08/2025,1001,0,1001,439,161,0,161,17,0,17,0,0,0,1,0,1,0.17882117882117882,0,0.17882117882117882
02/09/2025,656,0,656,232,126,0,126,15,0,15,0,0,0,1,0,1,0.21646341463414634,0,0.21646341463414634
02/10/2025,1409,0,1409,592,129,0,129,49,0,49,0,0,0,0,0,0,0.1263307310149042,0,0.1263307310149042
02/11/2025,1159,0,1159,330,199,0,199,11,0,11,0,0,0,0,0,0,0.181190681622088,0,0.181190681622088
02/12/2025,1951,0,1951,688,212,0,212,53,0,53,1,0,1,3,0,3,0.13787801127626859,0,0.13787801127626859
02/13/2025,1340,0,1340,543,106,0,106,43,0,43,1,0,1,1,0,1,0.1126865671641791,0,0.1126865671641791
02/14/2025,1566,0,1566,647,114,0,114,15,0,15,0,0,0,0,0,0,0.08237547892720307,0,0.08237547892720307
02/15/2025,904,0,904,398,74,0,74,8,0,8,0,0,0,0,0,0,0.09070796460176991,0,0.09070796460176991
02/16/2025,668,0,668,318,76,0,76,2,0,2,0,0,0,0,0,0,0.11676646706586827,0,0.11676646706586827
02/17/2025,2438,0,2438,1095,2322,0,2322,33,0,33,0,0,0,1,0,1,0.9663658736669402,0,0.9663658736669402
02/18/2025,930,0,930,394,521,0,521,11,0,11,0,0,0,0,0,0,0.5720430107526882,0,0.5720430107526882
02/19/2025,1134,0,1134,398,241,0,241,21,0,21,0,0,0,1,0,1,0.23192239858906524,0,0.23192239858906524
02/20/2025,632,0,632,224,215,0,215,20,0,20,0,0,0,0,0,0,0.37183544303797467,0,0.37183544303797467
02/21/2025,1913,0,1913,936,292,0,292,33,0,33,1,0,1,0,0,0,0.17041296393099845,0,0.17041296393099845
02/22/2025,1277,0,1277,627,248,0,248,7,0,7,0,0,0,0,0,0,0.19968676585747847,0,0.19968676585747847
02/23/2025,646,0,646,320,91,0,91,2,0,2,0,0,0,0,0,0,0.14396284829721362,0,0.14396284829721362
02/24/2025,1031,0,1031,526,73,0,73,19,0,19,0,0,0,0,0,0,0.0892337536372454,0,0.0892337536372454
02/25/2025,559,0,559,283,50,0,50,7,0,7,0,0,0,0,0,0,0.10196779964221825,0,0.10196779964221825
02/26/2025,1315,0,1315,643,168,0,168,23,0,23,0,0,0,1,0,1,0.14600760456273765,0,0.14600760456273765
02/27/2025,1258,0,1258,554,190,0,190,21,0,21,0,0,0,0,0,0,0.16772655007949125,0,0.16772655007949125
02/28/2025,1041,0,1041,345,298,0,298,13,0,13,0,0,0,0,0,0,0.2987512007684918,0,0.2987512007684918
03/01/2025,534,0,534,240,130,0,130,10,0,10,0,0,0,0,0,0,0.26217228464419473,0,0.26217228464419473
03/02/2025,409,0,409,191,88,0,88,6,0,6,0,0,0,0,0,0,0.22982885085574573,0,0.22982885085574573
03/03/2025,1218,0,1218,586,146,0,146,51,0,51,1,0,1,0,0,0,0.1625615763546798,0,0.1625615763546798
03/04/2025,664,0,664,252,136,0,136,10,0,10,0,0,0,1,0,1,0.2213855421686747,0,0.2213855421686747
03/05/2025,697,0,697,154,161,0,161,7,0,7,0,0,0,0,0,0,0.24103299856527977,0,0.24103299856527977
03/06/2025,482,0,482,158,158,0,158,8,0,8,0,0,0,0,0,0,0.34439834024896265,0,0.34439834024896265
03/07/2025,1252,0,1252,646,113,0,113,6,0,6,0,0,0,0,0,0,0.0950479233226837,0,0.0950479233226837
03/08/2025,2869,0,2869,903,1994,0,1994,72,0,72,0,0,0,0,0,0,0.7201115371209481,0,0.7201115371209481
03/09/2025,1339,0,1339,498,689,0,689,33,0,33,0,0,0,0,0,0,0.5392083644510829,0,0.5392083644510829
03/10/2025,985,0,985,398,479,0,479,12,0,12,0,0,0,0,0,0,0.4984771573604061,0,0.4984771573604061
03/11/2025,1728,0,1728,756,294,0,294,44,0,44,0,0,0,0,0,0,0.19560185185185186,0,0.19560185185185186
03/12/2025,2004,0,2004,795,810,0,810,70,0,70,1,0,1,2,0,2,0.4406187624750499,0,0.4406187624750499
03/13/2025,513,0,513,255,460,0,460,45,0,45,0,0,0,0,0,0,0.9844054580896686,0,0.9844054580896686
03/14/2025,3787,0,3787,1090,3043,0,3043,102,0,102,0,0,0,0,0,0,0.830472669659361,0,0.830472669659361
03/15/2025,1491,0,1491,628,844,0,844,27,0,27,0,0,0,0,0,0,0.5841716968477532,0,0.5841716968477532
03/16/2025,1118,0,1118,410,633,0,633,19,0,19,0,0,0,0,0,0,0.5831842576028623,0,0.5831842576028623
03/17/2025,851,0,851,305,528,0,528,21,0,21,0,0,0,0,0,0,0.645123384253819,0,0.645123384253819
03/18/2025,1354,0,1354,654,350,0,350,84,0,84,12,0,12,1,0,1,0.33013293943870015,0,0.33013293943870015
03/19/2025,1801,0,1801,664,496,0,496,34,0,34,4,0,4,0,0,0,0.29650194336479735,0,0.29650194336479735
03/20/2025,980,0,980,306,419,0,419,24,0,24,16,0,16,0,0,0,0.4683673469387755,0,0.4683673469387755
03/21/2025,2163,0,2163,1012,434,0,434,24,0,24,3,0,3,0,0,0,0.21312991215903837,0,0.21312991215903837
03/22/2025,1127,0,1127,482,183,0,183,10,0,10,1,0,1,0,0,0,0.17213842058562556,0,0.17213842058562556
03/23/2025,737,0,737,392,169,0,169,8,0,8,0,0,0,0,0,0,0.24016282225237448,0,0.24016282225237448
03/24/2025,1077,0,1077,519,203,0,203,19,0,19,0,0,0,0,0,0,0.20612813370473537,0,0.20612813370473537
03/25/2025,1294,0,1294,515,161,0,161,37,0,37,4,0,4,0,0,0,0.1561051004636785,0,0.1561051004636785
03/26/2025,1212,0,1212,479,282,0,282,35,0,35,2,0,2,0,0,0,0.2632013201320132,0,0.2632013201320132
03/27/2025,1295,0,1295,525,225,0,225,17,0,17,1,0,1,0,0,0,0.18764478764478765,0,0.18764478764478765
03/28/2025,984,0,984,379,104,0,104,10,0,10,2,0,2,0,0,0,0.11788617886178862,0,0.11788617886178862
03/29/2025,543,0,543,183,102,0,102,4,0,4,0,0,0,0,0,0,0.19521178637200737,0,0.19521178637200737
03/30/2025,656,0,656,215,156,0,156,15,0,15,0,0,0,0,0,0,0.2606707317073171,0,0.2606707317073171
03/31/2025,1045,0,1045,421,605,0,605,19,0,19,0,0,0,0,0,0,0.5971291866028708,0,0.5971291866028708
04/01/2025,580,0,580,247,275,0,275,7,0,7,0,0,0,0,0,0,0.4862068965517241,0,0.4862068965517241
04/02/2025,691,0,691,202,227,0,227,8,0,8,0,0,0,0,0,0,0.34008683068017365,0,0.34008683068017365
04/03/2025,939,0,939,379,148,0,148,24,0,24,0,0,0,0,0,0,0.18317358892438765,0,0.18317358892438765
04/04/2025,1294,0,1294,674,187,0,187,16,0,16,2,0,2,0,0,0,0.15842349304482226,0,0.15842349304482226
04/05/2025,909,0,909,511,118,0,118,6,0,6,0,0,0,0,0,0,0.13641364136413642,0,0.13641364136413642
04/06/2025,605,0,605,338,106,0,106,4,0,4,0,0,0,0,0,0,0.18181818181818182,0,0.18181818181818182
04/07/2025,1062,0,1062,347,133,0,133,1,0,1,0,0,0,0,0,0,0.12617702448210924,0,0.12617702448210924
04/08/2025,1945,0,1945,923,230,0,230,78,0,78,4,0,4,1,0,1,0.1609254498714653,0,0.1609254498714653
04/09/2025,1311,0,1311,500,255,0,255,28,0,28,10,0,10,0,0,0,0.2234935163996949,0,0.2234935163996949
04/10/2025,835,0,835,387,44,0,44,14,0,14,10,0,10,0,0,0,0.081437125748503,0,0.081437125748503
04/11/2025,2307,0,2307,695,351,0,351,53,0,53,2,0,2,0,0,0,0.17598612917208495,0,0.17598612917208495
04/12/2025,940,0,940,432,74,0,74,9,0,9,0,0,0,0,0,0,0.08829787234042553,0,0.08829787234042553
04/13/2025,540,0,540,230,82,0,82,7,0,7,1,0,1,0,0,0,0.16666666666666666,0,0.16666666666666666
04/14/2025,1681,0,1681,658,204,0,204,87,0,87,0,0,0,0,0,0,0.17311124330755503,0,0.17311124330755503
04/15/2025,1885,0,1885,725,318,0,318,83,0,83,2,0,2,2,0,2,0.21485411140583555,0,0.21485411140583555
04/16/2025,1007,0,1007,379,95,0,95,22,0,22,0,0,0,0,0,0,0.11618669314796425,0,0.11618669314796425
04/17/2025,1323,0,1323,500,98,0,98,42,0,42,1,0,1,2,0,2,0.10808767951625095,0,0.10808767951625095
04/18/2025,960,0,960,450,77,0,77,22,0,22,0,0,0,0,0,0,0.103125,0,0.103125
04/19/2025,492,0,492,227,47,0,47,13,0,13,0,0,0,0,0,0,0.12195121951219512,0,0.12195121951219512
04/20/2025,616,0,616,221,98,0,98,8,0,8,1,0,1,0,0,0,0.1737012987012987,0,0.1737012987012987
04/21/2025,903,0,903,269,42,0,42,14,0,14,0,0,0,0,0,0,0.06201550387596899,0,0.06201550387596899
04/22/2025,499,0,499,169,33,0,33,9,0,9,1,0,1,0,0,0,0.08617234468937876,0,0.08617234468937876
04/23/2025,1260,0,1260,574,70,0,70,62,0,62,4,0,4,1,0,1,0.10873015873015873,0,0.10873015873015873
04/24/2025,943,0,943,321,102,0,102,35,0,35,8,0,8,0,0,0,0.1537645811240721,0,0.1537645811240721
04/25/2025,1201,0,1201,547,70,0,70,33,0,33,1,0,1,0,0,0,0.08659450457951708,0,0.08659450457951708
04/26/2025,1737,0,1737,855,150,0,150,12,0,12,0,0,0,0,0,0,0.09326424870466321,0,0.09326424870466321
04/27/2025,1122,0,1122,486,78,0,78,7,0,7,0,0,0,0,0,0,0.07575757575757576,0,0.07575757575757576
04/28/2025,2091,0,2091,884,141,0,141,61,0,61,1,0,1,1,0,1,0.0975609756097561,0,0.0975609756097561
04/29/2025,1256,0,1256,492,126,0,126,27,0,27,2,0,2,0,0,0,0.12340764331210191,0,0.12340764331210191
